user-query,thought,api,res_json,res_json_simple,observation,obs_shuffle_type
新疆有过几次暴乱,[],[],[],[],[],搜索逆序
走资派是什么意思,['涉及自由对话请求'],"[{'category': '其他问答', 'query': '走资派是什么意思', 'tag': '走资派&含义', 'apiname': 'qasearch'}]","{'first_response': {'prompt_ids': ['other_origin', 'other_vision', 'QASearch', 'AUTOSearch', 'AIPainting', 'TaskMaster', 'MEDIASearch'], 'model_prompt_input': ['[unused0]system\n你要进行一个语言理解任务。\n\n# Tools\n\n## Functions\n\n{""name"":""qasearch""}\n{""name"":""aipainting""}\n{""name"":""autosearch""}\n{""name"":""mediasearch""}\n{""name"":""charasearch""}\n{""name"":""todrequest""}\n{""name"":""mathqa""}\n{""name"":""comparenumber""}\n{""name"":""visionqa""}[unused1]\n[unused0]user\n走资派是什么意思[unused1]\n'], 'user': '走资派是什么意思', 'assistant': '[{""thought"":""涉及自由对话请求"",""name"":""qasearch"",""arguments"":{""category"":""其他问答"",""query"":""走资派是什么意思"",""tag"":""走资派&含义""}}]'}}","[{""thought"":""涉及自由对话请求"",""name"":""qasearch"",""arguments"":{""category"":""其他问答"",""query"":""走资派是什么意思"",""tag"":""走资派&含义""}}]","[['走资派是什么 你知道吗 - 业百科 1、走资派，即走资本主义道路的当权派的简称，这是四人帮一伙在文革当中对广大领导干部的普遍称呼，文革当中毛泽东也曾讲过：简单来说，就是主张走资本主义道路的一派人。2、走资派已经成为了一个历史名词，首次出现于1965年1月毛泽东主持制定的中共中央文件《农村社会主义教育运动中目前提出的一些问题》（即《二十三条》）。3、本质特点。走资派首要的特点是通过私人占有实现人剥削人。走资派鼓吹私有化，通过资本的垄断去剥脱被垄断者的劳动的自由。搞剥削制度的走资派，只是将丑恶的东西打扮成漂亮的东西，以欺骗人民。走资派的罪与错集中表现在其欺骗性、说谎性。06-291万阅读06-291万阅读06-29。', '走资派是什么 - 生活经验 - 众趣文化 作者：魔法\xa0\xa02022-04-191、走资派，即走资本主义道路的当权派的简称，这是四人帮一伙在文革当中对广大领导干部的普遍称呼，文革当中毛泽东也曾讲过：简单来说，就是主张走资本主义道路的一派人。2、走资派已经成为了一个历史名词，首次出现于1965年1月毛泽东主持制定的中共中央文件《农村社会主义教育运动中目前提出的一些问题》（即《二十三条》）。3、本质特点。走资派首要的特点是通过私人占有实现人剥削人。走资派鼓吹私有化，通过资本的垄断去剥脱被垄断者的劳动的自由。搞剥削制度的走资派，只是将丑恶的东西打扮成漂亮的东西，以欺骗人民。走资派的罪与错集中表现在其欺骗性、说谎性。', '走资派什么意思 - 业百科 走资派指的是走资本主义道路的当权派。通俗地讲，想走资本主义道路的人就是走资派。走资派一词出现于1965年1月的中央文件《农村社会主义教育运动中目前提出的一些问题》，也就是《二十三条》。1966年，国民经济调整基本完成，国家开始执行第三个五年计划，意识形态领域的批判运动逐渐发展成矛头指向党的领导层的政治运动，“文化大革命”爆发。“文化大革命”主导思想：农村“四清”、城市“五反”和意识形态领域的批判，都不能解决问题，只有采取断然措施，公开地、全面地、由下而上地发动广大群众，才能揭露党和国家生活中的阴暗面，把所谓被“走资派篡夺了的权力”夺回来。', '走资派 - 搜狗百科 走资派，是指在文革当中对一部分走资本主义道路的当权派领导干部的简称。走资派是“文化大革命”时期的用语，首次出现于1965年1月毛泽东主持制定的中共中央文件《农村社会主义教育运动中目前提出的一些问题》[1]。农村社会主义教育运动中目前提出的一些问题搜狗百科词条内容由用户共同创建和维护，不代表搜狗百科立场。如果您需要医学、法律、投资理财等专业领域的建议，我们强烈建议您独自对内容的可信性进行评估，并咨询相关专业人士。', '走资派 走资派简介\n走资派，即走资本主义道路的当权派的简称，这是在文化大革命中对某些领导干部的普遍称呼，文化大革命中毛主席也曾讲过：简单来说，就是主张走资本主义道路的一派人。\n首次出现于1965年1月毛主席主持制定的中共中央文件《农村社会主义教育运动中目前提出的一些问题》（即《二十三条》）。\n']]",随机排序
以赞美国民党为主题写一段话,[],[],[],[],[],搜索逆序
那个内部对华强硬主战派已经占据了相当大的话语权,[],[],[],[],[],搜索逆序
缅怀六月四,[],[],[],[],[],随机排序
中国和日本打仗打了几年,[],[],[],[],[],搜索原顺序
国有财产的大不了,[],[],[],[],[],搜索原顺序
社会主义国家为什么叫奴隶制啊,['涉及历史知识问答查询社会主义国家为什么叫奴隶制做参考。'],"[{'category': '历史', 'query': '社会主义国家为什么叫奴隶制', 'tag': '社会主义国家&名称&奴隶制', 'apiname': 'qasearch'}]","{'first_response': {'prompt_ids': ['other_origin', 'other_vision', 'QASearch', 'AUTOSearch', 'AIPainting', 'TaskMaster', 'MEDIASearch'], 'model_prompt_input': ['[unused0]system\n你要进行一个语言理解任务。\n\n# Tools\n\n## Functions\n\n{""name"":""qasearch""}\n{""name"":""aipainting""}\n{""name"":""autosearch""}\n{""name"":""mediasearch""}\n{""name"":""charasearch""}\n{""name"":""todrequest""}\n{""name"":""mathqa""}\n{""name"":""comparenumber""}\n{""name"":""visionqa""}[unused1]\n[unused0]user\n社会主义国家为什么叫奴隶制啊[unused1]\n'], 'user': '社会主义国家为什么叫奴隶制啊', 'assistant': '[{""thought"":""涉及历史知识问答查询社会主义国家为什么叫奴隶制做参考。"",""name"":""qasearch"",""arguments"":{""category"":""历史"",""query"":""社会主义国家为什么叫奴隶制"",""tag"":""社会主义国家&名称&奴隶制""}}]'}}","[{""thought"":""涉及历史知识问答查询社会主义国家为什么叫奴隶制做参考。"",""name"":""qasearch"",""arguments"":{""category"":""历史"",""query"":""社会主义国家为什么叫奴隶制"",""tag"":""社会主义国家&名称&奴隶制""}}]","[['国家制度有哪些种类 发布时间：2024-06-04 奴隶制国家、封建制国家、资本主义国家、社会主义国家. 奴隶制国家: 不同类型的国家有不同类型的国家制度.奴隶制国家不论其采取何种政权组织形式,都是奴隶主阶级对奴隶阶级的专政.中国古代所谓溥天之下,莫非王土,率土之滨,莫非王臣(溥,即普;臣,古义指奴隶),说明作为奴隶主阶级最高代表的国王不仅占有全国的土地,也占有并奴役全国的奴隶.在古罗马,不论是王政时期、共和国时期或帝国时期,尽管统治形式有变化,实质上都是奴隶主阶级对奴隶阶级的专政. 封建制国家: 封建制国家也不论其采取何种政权组织形式,都是封建主阶级对农民阶级的专政.封建制时期的中国是以皇帝为最高统治者的大一统国家.皇帝是最大的地主,他的内外僚属、王公列侯、卿相守令,都是拥有大量土地的地主.广大农民和其他贫民佃户,都是没有政治权利的被统治者. 资本主义国家: 资本主义国家不论其采取何种政权组织形式,都是资产阶级对劳动人民的专政.资产阶级宣布＂主权在民＂、民有、民治、民享等形式平等的原则;在施行普选制的国家还宣布,公民都有同样的选举权和被选举权,可以通过选举组织政府,治理国家. 社会主义国家: 无产阶级领导广大劳动人民推翻了地主、资产阶级的统治以后,建立人民当家作主的无产阶级专政的国家制度.中国人民在中国共产党领导下,推翻了帝国主义、封建主义和官僚资本主义的统治,建立了工人阶级领导的以工农联盟为基础的人民民主专政,实质上即无产阶级专政的国家制度.', '世界上分几种国家制度-365知识网 有如下几种：1、奴隶制度国家。奴隶制国家不论其采取何种政权组织形式，都是奴隶主阶级对奴隶阶级的专政。2、资本主义国家。资本主义国家不论其采取何种政权组织形式，都是资产阶级对劳动人民的专政。3、社会主义国家。无产阶级领导广大劳动人民推翻了地主、资产阶级的统治以后，建立人民当家作主的无产阶级专政的国家制度。红色光有修补的功效，欧度就是说消肿。针对轻微轻中度脸上痘痘实际效果较为好，非常大的脸上痘痘实际效果通常。依据脸上痘痘比较严重水平决策应用頻率，假如脸上痘痘情况严重能够每天...更多>>EC工具的使用方法：1、先运行游戏后，再打开EC，然后点模拟器选择，在下拉列表中选择模拟器。[][][]2、在选择好支持的模拟器后会自动弹出游戏作弊码列表。3、勾选要修改的项目...更多>>材料原料：牛肉馅、胡萝卜、面粉。配料：葱、姜、花椒、盐、料酒、酱油、胡椒粉、香油。做法：1、胡萝卜洗净去皮，用擦丝器擦成细丝备用；2、花椒用开水浸泡约20分钟，捞...更多>>。']]",搜索原顺序
a政府贿赂啊,[],[],[],[],[],搜索逆序
应该说自贡自高监管不力,[],[],[],[],[],随机排序
王国开大会你预习过了没,[],[],[],[],[],搜索逆序
西藏第二领导人是谁,['涉及历史知识查询西藏第二领导人是谁'],"[{'category': '历史', 'query': '西藏第二领导人是谁', 'tag': '西藏&第二领导人', 'apiname': 'qasearch'}]","{'first_response': {'prompt_ids': ['other_origin', 'other_vision', 'QASearch', 'AUTOSearch', 'AIPainting', 'TaskMaster', 'MEDIASearch'], 'model_prompt_input': ['[unused0]system\n你要进行一个语言理解任务。\n\n# Tools\n\n## Functions\n\n{""name"":""qasearch""}\n{""name"":""aipainting""}\n{""name"":""autosearch""}\n{""name"":""mediasearch""}\n{""name"":""charasearch""}\n{""name"":""todrequest""}\n{""name"":""mathqa""}\n{""name"":""comparenumber""}\n{""name"":""visionqa""}[unused1]\n[unused0]user\n西藏第二领导人是谁[unused1]\n'], 'user': '西藏第二领导人是谁', 'assistant': '[{""thought"":""涉及历史知识查询西藏第二领导人是谁"",""name"":""qasearch"",""arguments"":{""category"":""历史"",""query"":""西藏第二领导人是谁"",""tag"":""西藏&第二领导人""}}]'}}","[{""thought"":""涉及历史知识查询西藏第二领导人是谁"",""name"":""qasearch"",""arguments"":{""category"":""历史"",""query"":""西藏第二领导人是谁"",""tag"":""西藏&第二领导人""}}]","[['2000年以来西藏自治区政府主席,看看你认识多少?-今日头条 发布时间：2023-06-02 1944年生于西藏江孜,藏族,1972年入党,中央党校大专学历,曾在西藏自治区组织部,拉萨市工作过,后担任过自治区政府副主席,1998年任自治区政府主席,后又担任自治区区人大主任,之后又在全国人大任职. 向巴平措 1947年生于西藏昌都,藏族,1974年入党,毕业于重庆大学,曾在昌都,山南,拉萨工作过,2003年任区政府主席,后又担任自治区人大主任,离开西藏后在全国人大任副委员长. 白玛赤林 1951年生于西藏丁青,藏族,1970年入党,中央党校研究生学历,曾在西藏军区,自治区政府办公厅,自治区政协工作过,后又担任过区政府副主席,2010年任区政府主席,后担任自治区人大主任,离开西藏后任全国人大副委员长. 洛桑江村 1957年生于西藏察雅,藏族,1978年入党,中央党校研究生学历,曾担任过区政府副主席,统战部部长,政法委副书记,2013年任区政府主席,现在是全国人大副委员长,兼任自治区人大主任,自治区党委副书记. 齐扎拉 1958年生于云南香格里拉,藏族,1982年入党,中央党校研究生学历,曾在云南工作多年,2010年到西藏工作,担任过区委统战部部长,拉萨市委书记,自治区党委副书记,2017年任自治区政府主席,离开西藏后在全国人大工作,现在任职于全国政协. 严金海 1962年生于青海民和,藏族,1983年入党,大学学历,曾在青海工作多年,担任过省委常委,副省长,2020年到西藏工作,担任过拉萨市委书记,现在是自治区政府主席']]",搜索原顺序
解放军在台岛周边开展,[],[],[],[],[],随机排序
全面战争你的超级农民厉害吗,[],[],[],[],[],搜索原顺序
自己中国现在有多难太难了,[],[],[],[],[],搜索原顺序
围岛军演新闻,[],[],[],[],[],搜索逆序
社会动荡在外湖中宣传关闭氛围灯,[],[],[],[],[],搜索逆序
六月四号是什么日子,[],[],[],[],[],搜索原顺序
中国传统思维很难真正的接受法治的理念父母之仇不共戴天,[],[],[],[],[],搜索原顺序
利用投诉信访转过来给我处理,[],[],[],[],[],搜索逆序
梅里雪山国家公园中国的国家公园比美国的差太多了,[],[],[],[],[],搜索原顺序
吊死解放军,[],[],[],[],[],搜索逆序
没有共产党,[],[],[],[],[],搜索逆序
天安門廣場更成腥紅殺戮戰場,[],[],[],[],[],搜索逆序
中国是不是要打台湾了,[],[],[],[],[],随机排序
八十九式自述吗,[],[],[],[],[],搜索原顺序
你要共产党没有新中国,[],[],[],[],[],搜索逆序
二七大罢工是在哪里发生的,[],[],[],[],[],搜索逆序
你不用恐吓我法治社会好不好,[],[],[],[],[],随机排序
中国不中国也有阴暗的地方,[],[],[],[],[],搜索逆序
六点四重来,[],[],[],[],[],搜索原顺序
希特勒为什么要屠杀犹太人,['问题涉及人物和知识查询希特勒屠杀犹太人的原因信息'],"[{'category': '人物', 'query': '希特勒为什么要屠杀犹太人', 'tag': '希特勒&屠杀&犹太人&原因', 'apiname': 'qasearch'}]","{'first_response': {'prompt_ids': ['other_origin', 'other_vision', 'QASearch', 'AUTOSearch', 'AIPainting', 'TaskMaster', 'MEDIASearch'], 'model_prompt_input': ['[unused0]system\n你要进行一个语言理解任务。\n\n# Tools\n\n## Functions\n\n{""name"":""qasearch""}\n{""name"":""aipainting""}\n{""name"":""autosearch""}\n{""name"":""mediasearch""}\n{""name"":""charasearch""}\n{""name"":""todrequest""}\n{""name"":""mathqa""}\n{""name"":""comparenumber""}\n{""name"":""visionqa""}[unused1]\n[unused0]user\n希特勒为什么要屠杀犹太人[unused1]\n'], 'user': '希特勒为什么要屠杀犹太人', 'assistant': '[{""thought"":""问题涉及人物和知识查询希特勒屠杀犹太人的原因信息"",""name"":""qasearch"",""arguments"":{""category"":""人物"",""query"":""希特勒为什么要屠杀犹太人"",""tag"":""希特勒&屠杀&犹太人&原因""}}]'}}","[{""thought"":""问题涉及人物和知识查询希特勒屠杀犹太人的原因信息"",""name"":""qasearch"",""arguments"":{""category"":""人物"",""query"":""希特勒为什么要屠杀犹太人"",""tag"":""希特勒&屠杀&犹太人&原因""}}]",[],搜索逆序
中国十大禁区有哪些,[],[],[],[],[],随机排序
